objectid,filename,title,description,subject,creator,source,rightsstatement,type,latitude,longitude,format,date,location,identifier,language,rights
GIB002000001001,https://archive.org/download/GIB002000001001/GIB002000001001.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Old Rectory Wheathampstead from S.","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.81324. Longitude: -0.29443949.",Domestic,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81324,-0.29444,image/jpeg,,,,,
GIB002000001002,https://archive.org/download/GIB002000001002/GIB002000001002.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Wheathampstead Church- Jacobean Balustered Rail, From former W. gallery (Screen)","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.812441. Longitude: -0.29465407.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81244,-0.29465,image/jpeg,,,,,
GIB002000001003,https://archive.org/download/GIB002000001003/GIB002000001003.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Wheathampstead Crocketed Niches N.tran E.Side","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.812441. Longitude: -0.29465407.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81244,-0.29465,image/jpeg,,,,,
GIB002000001004,https://archive.org/download/GIB002000001004/GIB002000001004.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Wheathampstead old rectory Crown P C14","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.81324. Longitude: -0.29443949.",Domestic,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81324,-0.29444,image/jpeg,,,,,
GIB002000001005,https://archive.org/download/GIB002000001005/GIB002000001005.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Wheathampstead CH Garrardmon, No date + no name, must be 1630s","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.812441. Longitude: -0.29465407.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81244,-0.29465,image/jpeg,,,,,
GIB002000001006,https://archive.org/download/GIB002000001006/GIB002000001006.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Old Rectory Wheathampstead, Crinkle Crankle Wall","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.81324. Longitude: -0.29443949.",Domestic,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81324,-0.29444,image/jpeg,,,,,
GIB002000001007,https://archive.org/download/GIB002000001007/GIB002000001007.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Wheathampstead CH. From S. Dec","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.812441. Longitude: -0.29465407.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81244,-0.29465,image/jpeg,,,,,
GIB002000001008,https://archive.org/download/GIB002000001008/GIB002000001008.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Wheathampstead CH . Sir John Brocket + Wife 1558 Tomb Chest","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.812441. Longitude: -0.29465407.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81244,-0.29465,image/jpeg,,,,,
GIB002000001009,https://archive.org/download/GIB002000001009/GIB002000001009.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Wheathampstead Dec Font. [Fountain]","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.812441. Longitude: -0.29465407.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81244,-0.29465,image/jpeg,,,,,
GIB002000001010,https://archive.org/download/GIB002000001010/GIB002000001010.jpg,"Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory, Wheathampstead Old Rectory Upper Front. Wattle Grove","In package titled: Wheathampstead Ch. [St Helen C of E Church]
+ Old Rectory. Latitude: 51.81324. Longitude: -0.29443949.",Domestic,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.81324,-0.29444,image/jpeg,,,,,
