objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
gib001000001001,https://adrian-gibson.github.io/001/GIB001000001001.jpg,,,"Solihull: [St John the Baptist Church], Berkswell ""Crypt capital""",,,,Stone;Religious,Solihull,52.410081,-1.642974064,"Welsh School of Architecture, Cardiff University",GIB001000001001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000001002,https://adrian-gibson.github.io/001/GIB001000001002.jpg,,,"Solihull: [St John the Baptist Church], Berkswell",,,,Stone;Religious,Solihull,52.410081,-1.642974064,"Welsh School of Architecture, Cardiff University",GIB001000001002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000001003,https://adrian-gibson.github.io/001/GIB001000001003.jpg,,,"Solihull: [St John the Baptist Church], Berkswell ""Crypt capital""",,,,Stone;Plaster;Religious,Solihull,52.410081,-1.642974064,"Welsh School of Architecture, Cardiff University",GIB001000001003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000001004,https://adrian-gibson.github.io/001/GIB001000001004.jpg,,,"Solihull: [St John the Baptist Church], Berkswell ""Chancel arch capital""",,,,Stone;Religious,Solihull,52.410081,-1.642974064,"Welsh School of Architecture, Cardiff University",GIB001000001004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000001005,https://adrian-gibson.github.io/001/GIB001000001005.jpg,,,"Solihull: [St John the Baptist Church], Berkswell ""Chancel exterior""",,,,Stone;Religious,Solihull,52.410081,-1.642974064,"Welsh School of Architecture, Cardiff University",GIB001000001005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000001006,https://adrian-gibson.github.io/001/GIB001000001006.jpg,,,"Solihull: [St John the Baptist Church], Berkswell",,,,Stone;Religious,Solihull,52.410081,-1.642974064,"Welsh School of Architecture, Cardiff University",GIB001000001006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000001007,https://adrian-gibson.github.io/001/GIB001000001007.jpg,,,"Solihull: [St John the Baptist Church], Berkswell ""Chancel exterior""",,,,Stone;Religious,Solihull,52.410081,-1.642974064,"Welsh School of Architecture, Cardiff University",GIB001000001007,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000001008,https://adrian-gibson.github.io/001/GIB001000001008.jpg,,,"Solihull: [St John the Baptist Church], Berkswell ""Chancel arch capital""",,,,Stone;Religious,Solihull,52.410081,-1.642974064,"Welsh School of Architecture, Cardiff University",GIB001000001008,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002001,https://adrian-gibson.github.io/001/GIB001000002001.jpg,,,"Cambridgeshire: [St James Church, Hemingford]",,,,Stone;Plaster;Religious,Cambridgeshire,52.320714,-0.10528678,"Welsh School of Architecture, Cardiff University",GIB001000002001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002002,https://adrian-gibson.github.io/001/GIB001000002002.jpg,,,"Cambridgeshire: [St James Church, Hemingford]",,,,Stone;Plaster;Religious,Cambridgeshire,52.320714,-0.10528678,"Welsh School of Architecture, Cardiff University",GIB001000002002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002003,https://adrian-gibson.github.io/001/GIB001000002003.jpg,,,"Cambridgeshire: [Brook House, St Neots]",,,,Brick;Domestic,Cambridgeshire,52.2265,-0.267385,"Welsh School of Architecture, Cardiff University",GIB001000002003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002004,https://adrian-gibson.github.io/001/GIB001000002004.jpg,,,"Bedford: [Parish Church of Saint Peter, Thurleigh]",,,,Brick;Stone;Religious,Bedford,52.2144,-0.4626,"Welsh School of Architecture, Cardiff University",GIB001000002004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002005,https://adrian-gibson.github.io/001/GIB001000002005.jpg,,,"Bedford: [Parish Church of Saint Peter, Thurleigh]",,,,Stone;Religious,Bedford,52.2144,-0.4626,"Welsh School of Architecture, Cardiff University",GIB001000002005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
